Reference,Value,Quantity
"B7,C10,C7,D10,D7,E10,F10,H10,J10,K5",74LS191,10
"C11,E11,F3,F6,H3,J3,K3",74LS157,7
"D2,M4,N4,P4,R4",2114,5
"B5,D6,H11,L6",74LS04,4
"F7,H7,J7,K7",74LS273,4
"F9,H9,J9,K9",74LS97,4
"D9,F11,N11",74LS174,3
"F5,H5,J5",74LS193,3
"B9,M5,N6",74LS32,3
"F4,H4,J4",74LS670,3
"A7,D4,R8",74LS74,3
"L9,P11,P12",LM324,3
"N10,N9",7406,2
"C6,N5",74LS00,2
"E6,K6",74LS08,2
"B2,C2",74LS244,2
"E3,R2",74LS245,2
"J11,L11",74LS251,2
"H6,J6",74LS367,2
"B4,D5",74LS393,2
"K4,L4",83S185,2
"B12,D12",AD561J,2
"D13,M10",CD4016B,2
"L10,M9",NE555,2
E2,035143-02,1
H2,035144-02,1
J2,035145-02,1
C3,6502A,1
A9,74LS10,1
A10,74LS109,1
L3,74LS139,1
B6,74LS14,1
M7,74LS175,1
E5,74LS20,1
M11,74LS259,1
B16,74LS374,1
E7,74LS42,1
M6,74LS83,1
P5,74LS86,1
C8,82S129,1
N3,8316E,1
C4,9316,1
M12,DIP switch,1
C5,counter,1
E12,op-amp,1
