Reference,Value,Quantity
"A10,C10,E10,F2,F5,H2,J2,K2",74LS157,8
"C9,D9,E9,F9,H9,J9,K4",74LS191,7
"B6,C3,C4,C6,P7",9316,5
"F8,H8,J8,K8",7497,4
"B8,E5,K5,R6",74LS08,4
"F6,H6,J6,K6",74LS273,4
"B12,D12,R11",4016B,3
"C7,D5,P10",74LS02,3
"K9,P8,R8",74LS164,3
"D8,N10,P6",74LS174,3
"F4,H4,J4",74LS193,3
"B1,C1,M9",74LS244,3
"B9,M4,N5",74LS32,3
"E6,E8,L5",74LS42,3
"F3,H3,J3",74LS670,3
"A6,D3,R7",74LS74,3
"B4,H10",7404,2
"C5,N4",74LS00,2
"L4,R9",74LS04,2
"A8,N8",74LS10,2
"E3,L2",74LS139,2
"M6,P9",74LS175,2
"E2,P1",74LS245,2
"J10,L10",74LS251,2
"H5,J5",74LS367,2
"B3,D4",74LS393,2
C8,034602-01,1
D1,036430-01,1
E1,036431-01,1
H1,036432-01,1
F1,036432-02,1
J1,036433-02,1
N2,036799-01,1
R2,036800-01,1
N6,7406,1
A9,74LS109,1
B5,74LS14,1
D6,74LS161,1
E4,74LS20,1
P5,74LS253,1
M10,74LS259,1
L9,74LS374,1
M5,74LS83,1
P4,74LS86,1
C2,90-6013,1
