Reference,Value,Quantity
"A1,A2,B1,B2,C1,C2,D1,D2,H2,J2",2114,10
"A3,B3,E1,E3,F1,F3,J1,K1,L1,N1",8316E,10
"A5,A6,B5,C5,D5,D6",74LS194,6
"K6,L4,L6,M6,N6",74LS161,5
"K3,N11,N2,P11,R11",74LS244,5
"D4,E4,F4,H4",74LS157,4
"F8,F9,J8,K8",74LS175,4
"J5,K10,L2,M8",74LS32,4
"H10,L10,L9,M9",74LS74,4
"C4,K5,M2",74LS139,3
"C7,L7,M11",74LS174,3
"E5,F5,H5",74LS193,3
"F2,P2,P4",74LS245,3
"E6,F6,H6",74LS670,3
"K2,P5,R9",74S04,3
"M7,N9",74LS02,2
"L5,P8",74LS08,2
"F10,J6",74LS191,2
"F7,H7",74LS367,2
"M4,N5",74LS393,2
"B4,J7",74LS42,2
"M10,P10",8-position DIP switch,2
H1,036413-01,1
L3,6502A,1
H11,7404,1
N4,74193,1
J4,74LS00,1
K4,74LS10,1
N8,74LS109,1
J9,74LS11,1
B6,74LS14,1
P9,74LS164,1
M5,74LS20,1
N7,74LS27,1
C8,74LS273,1
H8,74LS399,1
D7,74LS86,1
C6,74S00,1
K9,74S02,1
L8,74S260,1
J10,74S74,1
B7,74S86,1
K7,82S129,1
C9,DAC-08,1
