Reference,Value,Quantity
"K5,K7,L5,L7,M5,M7,N5,N7",2101A-2,8
"C7,E8,K6,L6,M6,N6,P6",74LS153,7
"D7,D8,F8,H8,J8,K8,P5",74LS157,7
"A5,B5,M2,N2,N3,P2,P3",74LS163A,7
"D10,D9,K9,L9,M8,M9,P7",74LS257,7
"A4,C5,E3,F3,J3",74LS32,5
"C6,D6,E6,J4",74LS174,4
"A8,E4,M4,N4",74LS175,4
"B1,C1,H5",74LS244,3
"F10,F11",4584B,2
"A10,A9",7407,2
"B7,K4",74LS08,2
"K2,L3",74LS10,2
"C4,J2",74LS139,2
"H9,J9",74LS166,2
"B11,C11",74LS191,2
"B4,J6",74LS273,2
"D4,M3",74LS74,2
"F6,H6",74LS83,2
"E9,F9",74S74,2
C2,6502,1
L8,74LS00,1
K3,74LS04,1
A7,74LS20,1
E2,74LS245,1
M10,74LS259,1
J5,74LS373,1
H4,74LS374,1
H3,74LS42,1
E7,74LS86,1
L2,74LS90,1
N1,74S04,1
P4,82S123,1
