Reference,Value,Quantity
"E13,E14,F10,H14,J7,J8,K11,K13,L13,M11,M13",74LS157,11
"B13,C10,C13,C5,C6,E4,E5,F11,F12",74LS367,9
"E6,H5,J5,K2,K9,M12,M9",74LS86,7
"E9,F4,F5,H3,H4,L3",74LS74,6
"D12,K12,K5,M5,M6",74LS20,5
"C7,J12,J9,K8,L12",74LS273,5
"F14,H6,K3,K4,M4",74LS32,5
"F7,J4,K6,M7",74LS00,4
"A4,E10,J6,M3",74LS02,4
"B4,D9,K7,M8",74LS08,4
"H1,H2,K1,L1",74LS161,4
"B10,C2,H10,H11",74LS245,4
"D13,J2",74LS139,2
"K10,M10",74LS163,2
"F15,H15",74LS194,2
C9,7408,1
L4,74LS174,1
D8,74LS175,1
D10,74LS259,1
C8,74LS393,1
