Reference,Value,Quantity
"B1,C1,E10,E2,F10,L2,L4,M4,N3",74LS244,9
"D4,E4,F6,F7,F8,J5,M7",74LS374,7
"B4,B5,C4,M3,P3",7432,5
"E9,J9,M9,N5,P9",7474,5
"F3,H3,J3,K3,L3",74LS153,5
"M5,M6,N6,P5,P6",9316,5
"B6,C6,E6,N8",74LS157,4
"D10,D9,H10,H9",74LS191,4
"N4,P2,P7",7404,3
"B7,D3,J10",7414,3
"B3,E3,L10",7442,3
"A8,B8,J8",74LS164,3
"F5,H5,H7",74LS83,3
"A7,D6,M8",74LS86,3
"C3,K8",7400,2
"D7,K7",7402,2
"D8,L8",7408,2
"J7,N9",7410,2
"J6,K5",74LS163A,2
"E8,F9",74LS174,2
P8,74195,1
H6,7430,1
H8,74LS151,1
