Reference,Value,Quantity
"F6,K8,L8,M8,N3,N8,R3",74LS157,7
"C6,D6,D7,E6,H6,K10,K2",74LS175,7
"B1,C1,E2,H2,L9,M9,N9",74LS244,7
"A8,B8,C8,F8,H8,J8",74LS194,6
"J4,M6,N6,P6,R6",74LS161,5
"K5,K6,N5",74LS02,3
"J6,M5,R4",74LS32,3
"L4,L6",74LS08,2
"P2,P4",74LS174,2
"H3,H5",74LS20,2
"F2,P8",74LS245,2
"E8,R9",74LS273,2
"F4,H4",74LS393,2
"K3,L5",74LS74,2
"A6,A7",74S74,2
A4,555,1
E5,74109,1
E4,74193,1
L3,74LS00,1
J7,74LS139,1
F7,74LS14,1
M3,74LS164,1
C7,74LS191,1
J2,74LS374,1
H7,74LS42,1
E7,74S00,1
B7,74S02,1
F3,74S04,1
J5,74S260,1
