Reference,Value,Quantity
"F3,H3,J3,J5,R3",74LS32,5
"C8,C9,D8,E8,H5",74S74,5
"E5,K3,N3,T4",74LS74,4
"F2,H2,T9",74LS244,3
"B12,C12",7407,2
"J9,K9",74153,2
"H4,P4",74LS00,2
"F4,P13",74LS04,2
"L4,P3",74LS08,2
"M4,R2",74LS175,2
"D6,N11",74LS191,2
"H7,M7",74LS193,2
"M11,R11",74LS257,2
"F1,K2",74LS374,2
"P7,R7",74LS83,2
K4,74109,1
F5,74LS02,1
E4,74LS139,1
H8,74LS163A,1
H6,74LS174,1
M9,74LS195,1
E2,74LS245,1
R6,74LS273,1
E3,74LS367,1
K5,74LS399,1
N4,74S02,1
N5,74S260,1
J4,74S32,1
E6,74S85,1
