Reference,Value,Quantity
"2D,3L,4M,5E,7A,8Q",74LS32,6
"11Q,1Q,4L,4N,8R",74LS139,5
"5H,6B,6D,8H",74LS157,4
"10M,2Q,5R,7R",74LS244,4
"12P,12Q,3R,5M",74LS245,4
"5P,8K,8L",74LS00,3
"4P,7D,8N",74LS04,3
"3N,5K,6N",74LS08,3
"8B,8D,8F",74LS194,3
"3E,3P,5A",74S74,3
"4R,5Q",74LS161,2
"10H,7L",74LS20,2
"10K,3M",74LS74,2
"3A,4A",74S02,2
4H,74109,1
4F,74LS02,1
7N,74LS10,1
5B,74LS174,1
3C,74LS175,1
3B,74LS191,1
2M,74LS253,1
13N,74LS257,1
5C,74LS27,1
8M,74LS273,1
7B,74S00,1
3D,74S04,1
4B,74S260,1
3H,74S32,1
