Reference,Value,Quantity
"A1,B1,E2,F2,L9,M9,N3,P10,P5",74LS244,9
"D9,H2,J2,K2,L2,M2,M7",74LS157,7
"A7,A9,E7,F7,H6,J8",7474,6
"F5,H5,J5,K5,P7",74LS153,5
"F3,H3,J3,K3",74153,4
"H7,J6,R2",74LS08,3
"C4,K6,L5",74S32,3
"A6,B8,C8",74S74,3
"C5,D8",7400,2
"E6,K7",7404,2
"A4,B4",74191,2
"C3,R5",7432,2
"E8,N2",7442,2
"B5,E3",74LS10,2
"M5,P2",74LS139,2
"D3,J9",74LS14,2
"K8,K9",74LS191,2
"M6,N7",74LS195,2
"F9,N6",74LS273,2
N11,7407,1
D6,74109,1
R6,74125,1
E5,74160,1
D5,74163,1
L8,74175,1
B7,7427,1
R7,7475,1
D4,7493,1
B6,74H04,1
F6,74LS11,1
R4,74LS163A,1
P6,74LS166,1
C7,74LS175,1
N5,74LS251,1
J7,74LS32,1
A8,74S00,1
D7,74S04,1
M3,74S08,1
E4,74S157,1
A5,74S260,1
