Reference,Value,Quantity
"H4,H5,J4,J5,M2,N2,P4,R4",74LS163A,8
"B8,D8,F10,F4,L4,L8,M8",74LS174,7
"P2,P3,R3,R5,R8,R9",74LS74,6
"B4,K2,L2,L5",74LS157,4
"H2,J2,J7,K7",74LS42,4
"A5,N7,R2",74LS04,3
"F7,J9,P8",74LS08,3
"A7,L9,R7",74LS153,3
"D4,D5,E5",74LS191,3
"C5,L7,P5",74LS20,3
"E2,J6,K4",74LS245,3
"B7,D7,J3",74LS32,3
"M5,N5,R6",74LS86,3
"F3,F8",74LS00,2
"H3,N8",74LS02,2
"C7,M7",74LS10,2
"B3,B5",74LS109,2
"E3,R10",74LS14,2
"E9,F9",74LS164,2
"J8,M3",74LS175,2
"N9,P9",74LS251,2
"F2,K8",74LS367,2
C1,35763-01,1
F1,35765-01,1
H1,35766-01,1
E6,35775-01,1
M4,35778-01,1
M6,35779-01,1
E7,35785-01,1
A10,4066,1
C4,7425,1
D3,7496,1
A8,74LS27,1
B9,74LS92,1
N4,74LS95,1
H7,9316,1
