"Reference","Value","QUANTITY"
"C3,C4,C5,C6,C7,C8,C9,C10,C11","0.1uF","9"
"C12","1.0uF","1"
"C13","5.0uF","1"
"C2","470uF","1"
"C1","8000uF","1"
"R8","100R","1"
"R6,R7","330R","2"
"UA9,UB9,UF4,UG4","555","4"
"R4","1K","1"
"R3","2.2K","1"
"R9","5.6K","1"
"UB2,UB7,UC1,UC3,UE1,UE6,UG3,UH1,UH4,UH5","7400","10"
"UD2,UF5,UG1","7402","3"
"UC9,UD1,UE4","7404","3"
"UC4,UD4,UD5,UD8,UE2,UG5","7410","6"
"UA7,UH6","7420","2"
"UF2","7425","1"
"UD3,UF7","7430","2"
"UF1","7433","1"
"UC5","7448","1"
"UA6,UB6","7450","2"
"UA5,UB5,UC2,UE7,UH3","7474","5"
"UB4","7483","1"
"UA4","7486","1"
"UC7,UD7","7490","2"
"UA8,UB8,UE8,UE9,UF8,UF9","7493","6"
"UA3,UB3,UG7,UH7","9316","4"
"R10","50K","1"
"UA2,UC8,UD9,UF3,UF6,UG6,UH2","74107","7"
"UC6,UD6","74153","2"
"R2","330K","1"
"R5","1M","1"
"R1","2.2M","1"
"D5","1N914","1"
"D1,D2,D3,D4","1N4001","4"
"Q1","2N3643","1"
"Q2","2N3644","1"
"RV1","50K POT (Player 1)","1"
"RV2","50K POT (Player 2)","1"
"UE3,UE5,UG2","7427 (8875)","3"
"J1","Edge Connector","1"
"VR1","LM309K","1"
