Reference,Value,Quantity
"1N,1P,3P,4D,4E",74LS245,5
"5L,5M,6M,7M",74LS161,4
"1E,1F,9M,9N",74LS244,4
"10P,5C,7E",74LS157,3
"8M,8N,9P",74LS191,3
"10R,2R,5P",74LS74,3
"6N,6P,8L",74S02,3
"4P,7H",74LS00,2
"7D,8F",74LS175,2
"7C,8C",74LS194,2
"5N,8D",74LS273,2
"7K,8K",74LS32,2
"4R,5R",74LS393,2
6H,136002-125,1
2F,136016-102,1
2L,136016-105,1
3F,136016-107,1
3L,136016-110,1
2E,136016-201,1
2H,136016-203,1
3E,136016-206,1
3H,136016-208,1
4M,7406,1
10J,74LS04,1
4K,74LS08,1
6K,74LS109,1
6L,74LS14,1
5H,74LS174,1
5K,74LS27,1
6J,74LS42,1
10K,74LS86,1
8P,74S04,1
7L,74S260,1
4N,74S32,1
