Reference,Value,Quantity
"K3,N11,N2,P11,P2,R11",74LS244,6
"A6,B5,C5,D5,D6",74LS194,5
"D4,E4,F4,H4",74LS157,4
"F8,F9,J8,K8",74LS175,4
"E5,F5,H5",74LS193,3
"F2,R4,R5",74LS245,3
"J5,K10,M8",74LS32,3
"E6,F6,H6",74LS670,3
"H10,L10,M9",74LS74,3
"M7,N9",74LS02,2
"L5,P8",74LS08,2
"F10,J6",74LS191,2
"M4,N5",74LS393,2
"B4,J7",74LS42,2
"P5,R9",74S04,2
"J10,L9",74S74,2
A1,036174-01,1
K1,036179-01,1
K7,036408-01,1
A5,036464-01,1
H11,7404,1
N4,74193,1
J4,74LS00,1
N8,74LS109,1
B6,74LS14,1
M5,74LS20,1
N7,74LS27,1
C8,74LS273,1
H8,74LS399,1
D7,74LS86,1
C6,74S00,1
K9,74S02,1
L8,74S260,1
N3,90-6013,1
