Reference,Value,Quantity
"12H,1N,7K",74LS00,3
"3T,8M,8N",74LS157,3
"10M,12N,13M",74S32,3
"10L,12E",74LS08,2
"3A,5M",74LS163A,2
"2H,2J",74LS194,2
"2P,6L",74LS245,2
"14B,5R",74LS257,2
"2F,4D",74LS273,2
"2N,3P",74LS32,2
"4E,5E",74LS374,2
13A,136030-122,1
13D,136030-123,1
13B,136030-124,1
06R,136030-126,1
06N,136030-127,1
01M,136030-128,1
01K,136030-129,1
01H,136030-130,1
01F,136030-131,1
01C,136030-133,1
11T,136030-215,1
14F,136030-221,1
13F,136030-222,1
2A,74LS139,1
5C,74LS174,1
3H,74LS175,1
11M,74LS20,1
14J,74LS259,1
4A,74LS30,1
10K,74LS74,1
8F,74LS86,1
13H,74LS90,1
5B,74S02,1
4F,74S08,1
8C,74S74,1
