Reference,Value,Quantity
"C6,D6,D7,E6,H6,K10,K2",74LS175,7
"A8,B8,C8,F8,H8,J8",74LS194,6
"F6,K8,L8,M8,N8",74LS157,5
"J4,M6,N6,P6,R6",74LS161,5
"B1,C1,E2,H2,M9",74LS244,5
"H7,L4,P3,R2",74LS42,4
"J6,M5,N3",74LS32,3
"A7,K3,L5",74LS74,3
"E3,L3",74LS00,2
"H3,K5",74LS02,2
"J3,K9",74LS04,2
"L6,R3",74LS08,2
"P2,R4",74LS174,2
"F2,P8",74LS245,2
"L9,N9",74LS251,2
"F4,H4",74LS393,2
A4,555,1
E4,74193,1
L10,7433,1
K4,74LS10,1
E5,74LS109,1
K6,74LS139,1
F7,74LS14,1
M3,74LS164,1
C7,74LS191,1
H5,74LS20,1
M4,74LS27,1
R9,74LS273,1
J2,74LS374,1
E7,74S00,1
F3,74S04,1
J5,74S260,1
