Reference,Value,Quantity
"10H,1D,1E,1S,2H",74LS244,5
"3F,3H,3L,3M",74LS153,4
"4F,4M,5S",74LS273,3
"1T,2L,4K",74S74,3
"2F,2M",74LS139,2
"1A,1B",74LS157,2
"1K,7E",74LS32,2
"2N,2R",74LS374,2
"10B,11C",74S00,2
7A,136042-101,1
7B,136042-102,1
7C,136042-103,1
7D,136042-104,1
6A,136042-105,1
6B,136042-106,1
6C,136042-107,1
6D,136042-108,1
6F,136042-109,1
6M,136042-114,1
6R,136042-117,1
6T,136042-118,1
6S,136042-122,1
6L,136042-126,1
6K,136042-127,1
6N,136042-325,1
7L,136042-330,1
7N,136042-331,1
2B,136042-419,1
2D,136042-420,1
5K,74LS04,1
5B,74LS109,1
8E,74LS163A,1
2K,74LS174,1
1M,74LS245,1
2T,74S32,1
