Reference,Value,Quantity
"A3,E7,H4,H8,N8,N9",74LS174,6
"D5,D6,E5,F5,H5,H6",74LS194,6
"A1,B1,E2,M12,N12,R9",74LS244,6
"B3,C1,J2,J5,P7",74LS139,5
"K2,L2,M2,N2,P8",74LS157,5
"C8,D8,E4,E8,F8",74LS161,5
"H7,J3,J7,K8",74LS175,4
"B9,C3,J8,R7",74LS32,4
"A7,B5,J4",74LS02,3
"K5,L5,M5",74LS193,3
"F2,H2,H3",74LS245,3
"K6,L6,M6",74LS670,3
"A6,E3,N6",74S04,3
"J6,L8",74LS191,2
"K7,N7",74LS367,2
"B4,D4",74LS393,2
"B8,D3",74LS74,2
"B7,C7",74S74,2
"L12,N13",8-position DIP switch,2
D1,136002-101,1
N3,136002-111,1
R3,136002-112,1
D7,136002-125,1
A2,74109,1
C4,74193,1
K9,74LS00,1
J11,74LS04,1
A4,74LS08,1
F4,74LS10,1
A8,74LS109,1
E6,74LS14,1
A9,74LS164,1
E9,74LS20,1
B6,74LS27,1
D9,74LS273,1
H9,74LS399,1
F7,74LS42,1
F6,74S00,1
C6,74S02,1
F3,74S08,1
C5,74S260,1
C2,90-6013,1
D10,DAC-08,1
K11,TL082,1
