Reference,Value,Quantity
"K7,M8,N5,N6,P4,P5,P6",74LS163A,7
"H4,J4,K4,L4,M4,P7",74LS153,6
"F8,H8,K2,L2,M3,M5",74LS257,6
"C6,E7,F7,H7,J7",74LS157,5
"D4,E4,N9",74LS32,3
"B7,K6,N4",74LS74,3
"B6,J6",74LS04,2
"C5,F3",74LS10,2
"D7,J8",74LS166,2
"D5,D8",74LS174,2
"B1,C1",74LS244,2
"F4,L7",74LS273,2
"E5,F5",74LS83,2
K1,037153-01,1
M1,037154-01,1
E1,037156-01,1
H1,037157-01,1
J1,037158-01,1
E6,037159-01,1
N7,037235-01,1
C4,74LS00,1
C7,74LS08,1
C3,74LS139,1
L6,74LS175,1
E2,74LS245,1
P9,74LS259,1
F2,74LS373,1
D3,74LS42,1
D6,74LS86,1
B5,74LS90,1
P3,74S04,1
N8,74S74,1
M6,82S129,1
